Wavelength (nm),Averaged
1080.81,0.000278759
1080.806,0.000281254
1080.802,0.000266477
1080.798,0.000284015
1080.794,0.00028104
1080.79,0.000278
1080.786,0.000282201
1080.782,0.000271628
1080.778,0.000255196
1080.774,0.000267537
1080.77,0.000267768
1080.766,0.000264698
1080.762,0.000258365
1080.758,0.000260344
1080.754,0.0002632
1080.75,0.000244988
1080.746,0.00024876
1080.742,0.000242578
1080.738,0.000251778
1080.734,0.000235868
1080.73,0.000240536
1080.726,0.000240481
1080.722,0.000247905
1080.718,0.000249047
1080.714,0.000234293
1080.71,0.000240185
1080.706,0.000239427
1080.702,0.000246426
1080.698,0.000241072
1080.694,0.000223441
1080.69,0.00023556
1080.686,0.000228008
1080.682,0.000229236
1080.678,0.000232301
1080.674,0.0002173
1080.67,0.000223159
1080.666,0.000205626
1080.662,0.00022371
1080.658,0.00022141
1080.654,0.00021452
1080.65,0.00022145
1080.646,0.000213175
1080.642,0.000210744
1080.638,0.000210398
1080.634,0.00022005
1080.63,0.000215181
1080.626,0.000217268
1080.622,0.000212328
1080.618,0.000221253
1080.614,0.000219211
1080.61,0.000209045
1080.606,0.000204612
1080.602,0.000201452
1080.598,0.00020663
1080.594,0.000205459
1080.59,0.000200765
1080.586,0.00020106
1080.582,0.000188268
1080.578,0.000186933
1080.574,0.000193458
1080.57,0.0001968
1080.566,0.000189996
1080.562,0.000179896
1080.558,0.00019667
1080.554,0.000188558
1080.55,0.000188895
1080.546,0.000190941
1080.542,0.000175557
1080.538,0.000186248
1080.534,0.000180649
1080.53,0.000188327
1080.526,0.000183716
1080.522,0.00018532
1080.518,0.000173467
1080.514,0.000179699
1080.51,0.000171096
1080.506,0.000184874
1080.502,0.0001663
1080.498,0.000156287
1080.494,0.000169072
1080.49,0.000165338
1080.486,0.000172853
1080.482,0.000161974
1080.478,0.000177432
1080.474,0.000163894
1080.47,0.000175681
1080.466,0.000170952
1080.462,0.000162551
1080.458,0.00017864
1080.454,0.00016473
1080.45,0.00016601
1080.446,0.000157367
1080.442,0.000156822
1080.438,0.000154208
1080.434,0.000150957
1080.43,0.000167374
1080.426,0.000157684
1080.422,0.000145654
1080.418,0.000144418
1080.414,0.000152523
1080.41,0.00014797
1080.406,0.000139583
1080.402,0.00014846
1080.398,0.000156433
1080.394,0.000154287
1080.39,0.000138715
1080.386,0.000150449
1080.382,0.000156105
1080.378,0.000148863
1080.374,0.000158222
1080.37,0.000137389
1080.366,0.00014958
1080.362,0.000149473
1080.358,0.000139587
1080.354,0.000138085
1080.35,0.000146743
1080.346,0.00013808
1080.342,0.00013782
1080.338,0.000136953
1080.334,0.00012807
1080.33,0.000131349
1080.326,0.00013336
1080.322,0.000138286
1080.318,0.00013526
1080.314,0.000139044
1080.31,0.000136364
1080.306,0.000127142
1080.302,0.000138552
1080.298,0.000134592
1080.294,0.000133447
1080.29,0.000125463
1080.286,0.000139359
1080.282,0.000131205
1080.278,0.000121737
1080.274,0.000111838
1080.27,0.000108711
1080.266,0.000128547
1080.262,0.000121099
1080.258,0.000131921
1080.254,0.000120431
1080.25,0.000116666
1080.246,0.000116448
1080.242,0.000120749
1080.238,0.000118716
1080.234,0.000122426
1080.23,0.000117322
1080.226,0.000129527
1080.222,0.000121808
1080.218,0.000118511
1080.214,0.000119895
1080.21,0.00011029
1080.206,0.000126302
1080.202,0.00012088
1080.198,0.000109113
1080.194,0.00010899
1080.19,0.00010429
1080.186,0.00011282
1080.182,0.000115712
1080.178,0.000114161
1080.174,0.000102759
1080.17,0.000110857
1080.166,0.000101878
1080.162,0.00012193
1080.158,0.000106229
1080.154,0.000103606
1080.15,0.000124362
1080.146,0.00010791
1080.142,0.000102382
